[Countries]
AYGN|Gurney|-10.311531|150.333756||AYPM|0
AYGR|Girua|-8.804544|148.309047||AYPM|0
AYHK|Hoskins|-5.462169|150.404944||AYPM|0
AYIQ|Kieta|-6.306122|155.728006||AYPM|0
AYKA|Kiriwina|-8.511833|151.085666||AYPM|0
AYKG|Kopiago|-5.383333|142.55||AYPM|0
AYKI|Kiunga|-6.126666|141.277333||AYPM|0
AYKK|Kikori|-7.426166|144.252333||AYPM|0
AYKM|Kerema|-7.963667|145.771333||AYPM|0
AYKT|Kieta|-6.3055|155.728||AYPM|0
AYKV|Kavieng|-2.579397|150.807978||AYPM|0
AYKY|Kunaye|-3.043833|152.595833||AYPM|0
AYLA|Lae|-6.738333|146.996667||AYPM|0
AYMD|Madang|-5.207083|145.7887||AYPM|0
AYMH|Mount Hagen|-5.826111|144.296111||AYPM|0
AYMN|Mendi|-6.147739|143.657164||AYPM|0
AYMO|Momote|-2.061889|147.42415||AYPM|0
AYMR|Moro|-6.363666|143.2455||AYPM|0
AYMS|Misima|-10.689333|152.8325||AYPM|0
AYNZ|Nadzab|-6.569828|146.726242||AYPM|0
AYOC|Ok Tedi|-5.411667|141.316667||AYPM|0
AYPY|Port Moresby Jacksons Intl|-9.443383|147.22005||AYPM|0
AYRD|Rano|-5.958833|151.166333||AYPM|0
AYTA|Tari|-5.850166|142.951333||AYPM|0
AYTB|Tabubil|-5.2845|141.2305||AYPM|0
AYTK|Tokua|-4.3405|152.379667||AYPM|0
AYTU|Tufi|-09.076733|149.317150||AYPM|0
AYVN|Vanimo|-2.692122|141.302286||AYPM|0
AYWD|Wapenamanda|-5.643303|143.895411||AYPM|0
AYWK|Wewak Intl|-3.583828|143.669186||AYPM|0
AYXM|Komo|-6.063375|142.876806||AYPM|0
BGAA|Aasiaat|68.721732|-52.786435||BGGL|0
BGBW|Narsarsuaq|61.161111|-45.427778||BGGL|0
BGCO|Nerlerit Inaat|70.741518|-22.648788||BGGL|0
BGDB|Daneborg|74.3|-20.216667||BGGL|0
BGDH|Danmarkshavn|76.766667|-18.666667||BGGL|0
BGGH|Nuuk|64.190833|-51.678056||BGGL|0
BGJN|Ilulissat|69.23306|-51.06639||BGGL|0
BGKK|Kulusuk|65.58306|-37.14972||BGGL|0
BGMQ|Maniitsoq|65.411331|-52.933198||BGGL|0
BGMV|Mestersvig|72.233333|-23.916667||BGGL|0
BGNO|Station Nord|81.608333|-16.678333||BGGL|0
BGPC|Ikerasassuaq|60.057222|-43.159722||BGGL|0
BGPT|Paamiut|62.012167|-49.670044||BGGL|0
BGQQ|Qaanaaq|77.48865|-69.388731|NAQ|BGGL|0
BGSF|Kangerlussuaq|67.016944|-50.689167||BGGL|0
BGSS|Sisimiut|66.951655|-53.722719||BGGL|0
BGTL|Thule A.B.|76.530867|-68.705083||BGGL|0
BGUK|Upernavik|72.789652|-56.129264||BGGL|0
BGUQ|Qaarsut|70.733598|-52.693618||BGGL|0
BIAR|Akureyri|65.656667|-18.071944||BIRD|0
BIBA|Bakki|63.556111|-20.1375||BIRD|0
BIBD|Bildudalur|65.641389|-23.546111||BIRD|0
BIBL|Blonduos|65.645|-20.2875||BIRD|0
BIBR|Budardalur|65.075278|-21.800278||BIRD|0
BIDV|Djupivogur|64.644167|-14.282778||BIRD|0
BIEG|Egilsstadir|65.283333|-14.401389||BIRD|0
BIEH|Einiholtsmelar|64.25|-20.3||BIRD|0
BIFL|Fludir|64.142778|-20.326111||BIRD|0
BIFM|Fagurholmsmyri|63.874722|-16.641111||BIRD|0
BIGF|Grundarfjordur|64.993056|-23.220278||BIRD|0
BIGJ|Gjogur|65.995278|-21.326944||BIRD|0
BIGR|Grimsey|66.546111|-18.017222||BIRD|0
BIGS|Grimsstadir|65.6325|-16.148333||BIRD|0
BIHE|Herdubreidarlindir|65.188611|-16.194722||BIRD|0
BIHI|Hveravellir|64.886111|-19.4925||BIRD|0
BIHK|Holmavik|65.704722|-21.696389||BIRD|0
BIHL|Hella|63.835833|-20.3775||BIRD|0
BIHN|Hofn Hornafirdi|64.295556|-15.227222||BIRD|0
BIHU|Husavik|65.9525|-17.425833||BIRD|0
BIHZ|Husafell|64.699722|-20.883611||BIRD|0
BIIS|Isafjordur|66.058056|-23.135278||BIRD|0
BIKA|Kaldarmelar|64.778889|-22.256944||BIRD|0
BIKE|Kerlingarfjoll|64.705|-19.410556||BIRD|0
BIKF|Keflavik|63.985|-22.605556||BIRD|0
BIKL|Kirkjubaejarklaustur|63.790833|-18.001389||BIRD|0
BIKP|Kopasker|66.310833|-16.466667||BIRD|0
BIKR|Saudarkrokur|65.731667|-19.572778||BIRD|0
BIMK|Mulakot|63.714167|-19.879167||BIRD|0
BIMM|Melgerdismelar|65.483333|-18.166667||BIRD|0
BIMS|Tungubakkar Mosfellsbae|64.181111|-21.707778||BIRD|0
BIND|Nyidalur|64.720556|-18.066667||BIRD|0
BINF|Nordfjordur|65.131667|-13.746944||BIRD|0
BIOF|Olafsfjordur|66.083333|-18.666667||BIRD|0
BIRE|Reykholar|65.449722|-22.23||BIRD|0
BIRF|Rif|64.911389|-23.823056||BIRD|0
BIRG|Raufarhofn|66.406389|-15.918333||BIRD|0
BIRK|Reykjavik|64.13|-21.940556||BIRD|0
BIRL|Reykjahlid|65.655833|-16.918056||BIRD|0
BIRS|Reykjanes|65.914167|-22.421389||BIRD|0
BISA|Saudarflugvollir|64.833333|-16.033333||BIRD|0
BISE|Sudureyri|63.929167|-21.038056||BIRD|0
BISF|Selfoss|63.929167|-21.037778||BIRD|0
BISI|Siglufjordur|66.1384|-18.906894||BIRD|0
BISK|Skogasandur|63.517222|-19.489167||BIRD|0
BISL|Skaftafell|64.003889|-16.948056||BIRD|0
BISR|Storikroppur|64.634444|-21.4875||BIRD|0
BISS|Sandskeid|64.060833|-21.574722||BIRD|0
BIST|Stykkisholmur|65.058056|-22.794167||BIRD|0
BISV|Skalavatn|64.115833|-18.783333||BIRD|0
BITE|Thingeyri|65.870278|-23.559722||BIRD|0
BITM|Thorsmork|63.69|-19.563056||BIRD|0
BITN|Thorshofn|66.218333|-15.334722||BIRD|0
BIVI|Vik|63.421667|-18.888333||BIRD|0
BIVM|Vestmannaeyjar|63.425|-20.279167||BIRD|0
BIVO|Vopnafjordur|65.720556|-14.850556||BIRD|0
BKPR|Pristina|42.572778|21.035833||LYBA|0
CJV7|Nibinamik - Summer Beaver|52.708611|-88.541944||CZWG|0
CKB6|Angling Lake/Wapekeka|53.849167|-89.579444||CZWG|0
CKD9|Slate Falls|51.13|-91.665556||CZWG|0
CKL3|Wunnumin|52.893889|-89.289167||CZWG|0
CLM2|Leamington|42.024722|-82.525||KZOB|0
CNA3|Barrie - Springwater|44.406389|-79.731667||CZYZ|0
